secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
1,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
2,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
3,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
4,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
5,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
6,76,77,0,0,0,0,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
7,76,77,0,0,0,235,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
8,76,77,0,0,0,230,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
9,76,77,0,0,0,220,212.6,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
10,75,76,0,0,0,211,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
11,75,75,0,0,0,209,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
12,75,76,0,0,0,209,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
13,75,77,0,0,0,216,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
14,76,77,0,0,0,226,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
15,78,77,0,0,0,232,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
